Cell_ID	UMLS_code
CLPUB00024	"""C1292210"""
CLPUB00024	"""C1292231"""
CLPUB00024	"""C1292232"""
CLPUB00024	"""C1292240"""
CLPUB00024	"""C1320556"""
CLPUB00024	"""C1320557"""
CLPUB00024	"""C1320558"""
CLPUB00024	"""C1320559"""
CLPUB00024	"""C1320560"""
CLPUB00024	"""C1320561"""
CLPUB00024	"""C1320562"""
CLPUB00024	"""C1320563"""
CLPUB00024	"""C1320564"""
CLPUB00024	"""C1320565"""
CLPUB00024	"""C1320566"""
CLPUB00024	"""C1320567"""
CLPUB00024	"""C1320568"""
CLPUB00024	"""C1320569"""
CLPUB00024	"""C1320570"""
CLPUB00024	"""C1320571"""
CLPUB00024	"""C1320572"""
CLPUB00024	"""C1320573"""
CLPUB00024	"""C1320574"""
CLPUB00024	"""C1320575"""
CLPUB00024	"""C1320577"""
CLPUB00024	"""C1320578"""
CLPUB00024	"""C1320579"""
CLPUB00024	"""C1320580"""
CLPUB00024	"""C1320581"""
CLPUB00024	"""C1320582"""
CLPUB00024	"""C1320583"""
CLPUB00024	"""C1320584"""
CLPUB00024	"""C1320585"""
CLPUB00024	"""C1320586"""
CLPUB00024	"""C1320587"""
CLPUB00024	"""C1320588"""
CLPUB00024	"""C1320590"""
CLPUB00024	"""C1320591"""
CLPUB00024	"""C1320592"""
CLPUB00024	"""C1320593"""
CLPUB00024	"""C1320594"""
CLPUB00024	"""C1320595"""
CLPUB00024	"""C1320596"""
CLPUB00024	"""C1320597"""
CLPUB00024	"""C1320598"""
CLPUB00024	"""C1320600"""
CLPUB00024	"""C1320601"""
CLPUB00024	"""C1320602"""
CLPUB00024	"""C1320603"""
CLPUB00024	"""C1320604"""
CLPUB00024	"""C1320605"""
CLPUB00024	"""C1320606"""
CLPUB00024	"""C1320608"""
CLPUB00024	"""C1320609"""
CLPUB00024	"""C1320610"""
CLPUB00362	"""C0205460"""
CLPUB00030	"""C0323355"""
CLPUB00030	"""C0327782"""
CLPUB00177	"""C0439228"""
CLPUB00094	"""C0323179"""
CLPUB00336	"""C0421668"""
CLPUB00336	"""C0426768"""
CLPUB00093	"""C0319324"""
CLPUB00368	"""C0310365"""
CLPUB00368	"""C0310366"""
CLPUB00368	"""C0349374"""
CLPUB00368	"""C0440448"""
CLPUB00368	"""C0452438"""
CLPUB00368	"""C0452440"""
CLPUB00186	"""C0327839"""
CLPUB00186	"""C3662493"""
CLPUB00341	"""C2316401"""
CLPUB00341	"""C2316786"""
CLPUB00341	"""C2316787"""
CLPUB00341	"""C2316810"""
CLPUB00341	"""C2317473"""
CLPUB00176	"""C1269579"""
CLPUB00438	"""C0203121"""
CLPUB00438	"""C0412629"""
CLPUB00438	"""C0442393"""
